name,tier,primary_muscle,secondary_muscle,movement,equipment,compound,unilateral,rep_low,rep_high,complexity,notes
Bench Press,large,chest,triceps;shoulders_front,push_horizontal,barbell,true,false,4,12,med,primary pressing lift
Incline Bench Press,large,chest,triceps;shoulders_front,push_horizontal,barbell,true,false,5,12,med,upper-chest bias
Decline Bench Press,large,chest,triceps,push_horizontal,barbell,true,false,6,12,med,lower-chest bias
Flat Dumbbell Press,medium,chest,triceps;shoulders_front,push_horizontal,dumbbell,true,false,6,12,med,greater ROM than barbell
Incline Dumbbell Press,medium,chest,triceps;shoulders_front,push_horizontal,dumbbell,true,false,6,12,med,upper chest
Decline Dumbbell Press,medium,chest,triceps,push_horizontal,dumbbell,true,false,6,12,med,
Decline Smith Machine Press,medium,chest,triceps,push_horizontal,smith,true,false,6,12,low,
Smith Machine Bench Press,medium,chest,triceps,push_horizontal,smith,true,false,6,12,low,
Machine Chest Press,medium,chest,triceps,push_horizontal,machine,true,false,8,15,low,beginner-friendly
Flat Machine Press,medium,chest,triceps,push_horizontal,machine,true,false,8,15,low,
Dips,light,chest,triceps;shoulders_front,push_vertical,bodyweight,true,false,6,20,med,lean forward for chest bias
Machine Dips,light,chest,triceps,push_vertical,machine,true,false,8,15,low,
Narrow Push-Up,light,chest,triceps,push_horizontal,bodyweight,true,false,10,25,low,triceps emphasis
Modified Push-Up,light,chest,triceps,push_horizontal,bodyweight,true,false,10,25,low,
Close-Grip Bench Press,large,triceps,chest;shoulders_front,push_horizontal,barbell,true,false,6,12,med,triceps-dominant compound
Smith Close-Grip Bench Press,medium,triceps,chest,push_horizontal,smith,true,false,6,12,low,
Dumbbell Flye,light,chest,,isolation,dumbbell,false,false,10,15,low,stretch-focused
Incline Dumbbell Flye,light,chest,,isolation,dumbbell,false,false,10,15,low,
Cable Crossover,light,chest,,isolation,cable,false,false,10,20,low,peak contraction
Cable Crossover from Low Pulley,light,chest,,isolation,cable,false,false,10,20,low,incline flye vector
Incline Cable Flye,light,chest,,isolation,cable,false,false,10,20,low,
Peck Deck,light,chest,,isolation,machine,false,false,10,20,low,fixed plane
Straight Arm Pullover,light,chest,lats,isolation,dumbbell,false,false,10,15,med,also trains lats
Lying Pullover,light,chest,lats,isolation,dumbbell,false,false,10,15,med,
Barbell Bent-Over Row,large,lats,traps;biceps,pull_horizontal,barbell,true,false,6,12,high,heavy horizontal pull
Dumbbell Bent-Over Row,medium,lats,traps;biceps,pull_horizontal,dumbbell,true,false,6,12,med,
One-Arm Dumbbell Row,medium,lats,biceps,pull_horizontal,dumbbell,true,true,8,15,low,unilateral
Incline Dumbbell Row,medium,lats,biceps,pull_horizontal,dumbbell,true,false,8,15,low,chest supported
Seated Cable Row,medium,lats,traps;biceps,pull_horizontal,cable,true,false,8,15,low,
Bent-Over Smith Machine Row,medium,lats,biceps,pull_horizontal,smith,true,false,8,12,med,
Lat Pulldown,medium,lats,biceps,pull_vertical,cable,true,false,8,15,low,
Wide-Grip Lat Pulldown,medium,lats,biceps,pull_vertical,cable,true,false,8,15,low,lat width bias
Reverse-Grip Pulldown,medium,lats,biceps,pull_vertical,cable,true,false,8,15,low,lower-lat bias
Behind-the-Neck Pulldown,medium,lats,biceps,pull_vertical,cable,true,false,10,15,med,advanced
Reverse-Grip Hammer Pulldown,medium,lats,biceps,pull_vertical,machine,true,false,8,12,low,
Straight-Arm Pulldown,light,lats,,isolation,cable,false,false,10,15,low,
